,File,Count,Location,Emotions
167,../images/43365508_1573779776243019_r.jpg,25,"[(1621, 1656, 1728, 1548), (1609, 1166, 1716, 1059), (1510, 1300, 1599, 1210), (1609, 2217, 1716, 2110), (1441, 2743, 1549, 2635), (1633, 939, 1740, 832), (1420, 1648, 1510, 1559), (1569, 524, 1659, 434), (1441, 2504, 1549, 2396), (1587, 2690, 1716, 2561), (1619, 693, 1709, 603), (1585, 2373, 1692, 2265), (1231, 1917, 1320, 1828), (1529, 1051, 1619, 962), (1211, 315, 1301, 225), (1573, 1859, 1680, 1752), (1441, 2277, 1549, 2170), (1609, 1439, 1699, 1350), (1211, 792, 1301, 703), (1394, 2110, 1501, 2002), (1231, 514, 1320, 424), (1231, 912, 1320, 822), (1513, 856, 1621, 748), (1430, 1477, 1537, 1369), (1382, 1871, 1489, 1763)]","['Happy', 'Happy', 'Fear', 'Happy', 'Happy', 'Angry', 'Happy', 'Fear', 'Happy', 'Fear', 'Fear', 'Happy', 'Surprise', 'Fear', 'Happy', 'Surprise', 'Happy', 'Surprise', 'Happy', 'Happy', 'Happy', 'Happy', 'Fear', 'Fear', 'Fear']"
168,../images/43369668_1573633639590554_r.jpg,7,"[(218, 66, 281, 4), (77, 675, 263, 489), (211, 280, 274, 218), (196, 196, 271, 121), (315, 156, 377, 93), (228, 124, 280, 72), (113, 229, 188, 154)]","['Surprise', 'Happy', 'Happy', 'Happy', 'Fear', 'Happy', 'Fear']"
169,../images/43371002_1573641903914663_r.jpg,1,"[(495, 668, 569, 594)]",['Fear']
170,../images/43376468_1577457414346731_r.jpg,2,"[(76, 544, 166, 454), (96, 315, 186, 225)]","['Fear', 'Fear']"
171,../images/43379152_1573673527231160_r.jpg,1,"[(290, 718, 675, 332)]",['Happy']
172,../images/43379384_1573683964276566_r.jpg,0,[],
173,../images/43382132_1573678020369784_r.jpg,0,[],
174,../images/43395226_1573799737427525_r.jpg,0,[],
175,../images/43415818_1573786015823373_r.jpg,1,"[(241, 455, 562, 134)]",['Fear']
176,../images/43424962_157383098799486_r.jpg,0,[],
177,../images/43432944_1573859347525543_r.jpg,0,[],
178,../images/43452488_1573940919173630_r.jpg,0,[],
179,../images/43452876_159052790849651_r.jpg,2,"[(225, 540, 354, 411), (98, 459, 253, 304)]","['Surprise', 'Fear']"
180,../images/43462514_1573995779873688_r.jpg,0,[],
181,../images/43466056_1588868561831078_r.jpg,1,"[(1043, 2214, 2002, 1256)]",['Surprise']
182,../images/43476198_1574043438699400_r.jpg,2,"[(206, 740, 527, 419), (171, 290, 439, 22)]","['Fear', 'Fear']"
183,../images/43482740_1574104372537790_r.jpg,2,"[(502, 1375, 965, 913), (913, 1837, 1376, 1375)]","['Fear', 'Fear']"
184,../images/43492816_157434993648863_r.jpg,0,[],
185,../images/43518128_157419271649322_r.jpg,2,"[(235, 700, 343, 593), (24, 597, 153, 468)]","['Fear', 'Fear']"
186,../images/43519970_1574198587639_r.jpg,2,"[(187, 689, 295, 581), (582, 721, 618, 685)]","['Angry', 'Surprise']"
187,../images/43523084_1574204189987778_r.jpg,1,"[(384, 990, 705, 669)]",['Surprise']
188,../images/43530164_1574223591950518_r.jpg,2,"[(820, 1872, 1006, 1687), (647, 1389, 914, 1122)]","['Surprise', 'Fear']"
189,../images/43537980_1574268216865577_r.jpg,1,"[(81, 253, 236, 98)]",['Fear']
190,../images/43545032_1574280905192046_r.jpg,0,[],
191,../images/43562030_1574346367630330_r.jpg,1,"[(86, 385, 122, 349)]",['Fear']
192,../images/43564984_1574475329870543_r.jpg,4,"[(186, 365, 222, 329), (122, 297, 158, 261), (79, 103, 122, 59), (38, 209, 74, 173)]","['Happy', 'Happy', 'Surprise', 'Happy']"
193,../images/43580044_1574522293139149_r.jpg,0,[],
194,../images/43585564_1597068191987954_r.jpg,1,"[(67, 583, 196, 454)]",['Surprise']
195,../images/43600320_157472458552243_r.jpg,0,[],
196,../images/43625206_1574783790.6751.jpg,0,[],
197,../images/43633956_1574628080859712_r.jpg,2,"[(98, 184, 253, 29), (211, 411, 340, 282)]","['Surprise', 'Happy']"
198,../images/43640198_157464721176230_r.jpg,1,"[(92, 175, 199, 67)]",['Angry']
199,../images/43646868_159335555166488_r.jpg,0,[],
200,../images/43658058_1596744654404970_r.jpg,0,[],
201,../images/43665736_1574744818514753_r.jpg,0,[],
202,../images/43666554_1574735554485800_r.jpg,1,"[(761, 2044, 1146, 1659)]",['Fear']
203,../images/43674168_1582545602193511_r.jpg,1,"[(433, 315, 495, 252)]",['Fear']
204,../images/43674384_1574778775241829_r.jpg,5,"[(348, 487, 391, 443), (257, 423, 308, 371), (338, 295, 382, 252), (205, 508, 267, 446), (246, 553, 282, 517)]","['Fear', 'Fear', 'Fear', 'Fear', 'Fear']"
205,../images/43681464_1574793326491571_r.jpg,1,"[(868, 1943, 976, 1835)]",['Angry']
206,../images/43717036_1574963400821307_r.jpg,11,"[(366, 723, 418, 671), (199, 242, 242, 199), (357, 273, 419, 211), (199, 828, 242, 784), (185, 338, 228, 295), (194, 441, 230, 405), (138, 1042, 213, 967), (482, 1037, 518, 1001), (182, 924, 234, 872), (214, 746, 257, 703), (151, 568, 194, 525)]","['Happy', 'Happy', 'Fear', 'Surprise', 'Happy', 'Surprise', 'Fear', 'Happy', 'Happy', 'Surprise', 'Surprise']"
207,../images/43717944_1574906633542866_r.jpg,2,"[(52, 735, 320, 468), (170, 384, 491, 63)]","['Fear', 'Fear']"
208,../images/43728612_1576094949350630_r.jpg,0,[],
209,../images/43729046_1575226087225490_r.jpg,1,"[(675, 803, 1060, 418)]",['Fear']
210,../images/43729260_1574972105491848_r.jpg,1,"[(64, 408, 219, 253)]",['Surprise']
211,../images/43747178_1575183345365046_r.jpg,1,"[(160, 366, 345, 180)]",['Fear']
212,../images/43754150_1575467502302699_r.jpg,1,"[(80, 308, 142, 246)]",['Fear']
213,../images/43757594_1575094384824085_r.jpg,2,"[(311, 468, 440, 339), (116, 683, 270, 528)]","['Fear', 'Angry']"
